OBJECTID,Neighborhoods,GlobalID,Shape__Area,Shape__Length
159,12050,197f4e67-e5ae-4388-a8d2-ec5da87fad46,449670364.009766,780660.79081165
160,12100,6158996f-1120-4ce9-87ec-a773810b355b,17850040.2910156,55918.0602242662
161,13000,5feeaa1d-59b8-4872-a9e1-4f82ccabbf90,303159821.867676,694401.146885214
162,13010,eacabe2c-2c36-4bff-b17a-b363d29dc5cf,24618470.9885254,54025.6200298419
163,13020,4b5939c1-5dcf-46ee-9745-d6ba39188b78,3294804.37939453,16599.4210660522
164,13030,1ceccd66-9fcd-43a1-a966-145b8ed69a99,23556208.8459473,51346.6249992464
165,13060,a666db89-0e3b-4f20-a4ac-2f5792f24526,8050020.61572266,34601.1387480233
166,13070,6fa288c2-1458-46e5-9aa6-56c9070cdca9,6705627.09570313,11627.0143164483
167,13080,afd46390-97aa-4b80-8afa-ceac78581bd2,11128431.0080566,17909.2101530689
168,13091,fb0ada05-6e05-414e-ad74-864ab17e94f5,10704190.3190918,49291.8379177367
169,13092,9409dd97-8e43-4fb2-a7d9-4f02fe1010f3,6158981.22119141,32869.2575648456
170,13093,7fc40a47-7170-4a75-a4f4-cbc7034ff124,9301711.21386719,26218.894071217
171,13100,1d3af3ea-431b-4cb8-8160-31228230b424,3762931.2175293,9923.86186961517
172,13110,542cb3d2-dc29-4fb5-9fa8-51794bfdf03d,857657.731201172,6178.7050876117
173,13120,d3b93fe2-6714-4107-a952-6785c3988bc7,3903360.42504883,9237.75217557309
174,13150,549641b1-48f7-4cdf-8462-51f03297d556,629282.950195313,3198.19687279149
175,13160,8a2357ed-4966-4cb6-a964-17a597177b81,2326979.33691406,10132.7597342763
176,14000,6a8c765f-86fb-4b60-8aaa-7f8592185011,1618625.35205078,7788.69087939295
177,14050,889516cc-934b-4c7b-9f49-e79490335dec,2840819.86743164,15536.4343927718
178,14060,b3cb0beb-1da3-45d0-9ba8-d210aa92f0cc,4490486.92456055,13996.2253970673
179,14100,1a711244-22c7-4a57-8c93-490bf292eb8f,4362766.74951172,19753.5602745933
180,14150,dd75d3eb-cd54-4d75-b9bd-9aab218d87d9,5124709.41503906,18909.9612847358
181,14160,e88e0a37-28bc-4153-a07d-da5b469bf819,609050.250976563,3793.02487234569
182,14170,54778c43-b50b-474f-8149-9b48de7488fd,1120048.34619141,6291.31214275532
183,14190,91302c3b-fc19-4524-b46e-434359ab1de8,727691.064208984,9337.16167682754
184,14200,f3870ad1-000d-4156-b3e5-4fc44a0443c4,3144772.88720703,14939.072256418
185,14250,b0df4f73-301b-43bf-87ba-8f77508a40c3,4836098.64477539,35659.7475027256
186,14300,9d4ad981-d3df-48ef-bd65-43e1347d575f,5321783.74194336,27036.2176144685
187,14350,befbd14f-9ef7-498e-b3f2-70abbde90da5,1317337.4362793,15863.876432828
188,15000,846f7e3f-454c-442c-a25e-ba0b7ea143b2,410699019.687988,751608.867006328
189,15002,ab150d88-fd45-43f9-ad28-929ccebc0ae1,1287244.96069336,7505.48444939766
190,15050,43ac3f51-168b-4b89-a544-7ae96675585a,1763629.23510742,9649.31635359659
191,15100,1d17cbf8-0880-4cee-aa7d-36e984fe8b0d,3523222.76196289,14181.668848497
192,16000,a0b1fa66-7580-4ca2-ac7b-95259ea1a9a8,442363960.634766,795651.972427863
193,16001,2e197a49-605a-4a8d-bb2f-a1dff6f0e9d2,41685163.0893555,123882.961631451
194,16051,f5127d99-c28f-4028-9a8f-d5df77f43d1a,3653994.96557617,16077.6291430637
195,16100,41f80854-3a49-4268-bf12-89a6c96a7187,5925796.8762207,21786.3324568981
196,16150,d260f5fd-cb11-4d72-8abe-5bb8aefbb113,9956821.08227539,37353.3801369361
197,16200,97cd0ce0-be8a-4761-ba68-d823aade2092,6928766.06958008,41546.0748218298
198,16204,8445608c-3736-42f1-b937-0c4bdb97b22d,6927289.31542969,30722.9632860333
199,17000,95708617-7a91-4e6e-87d7-ad6ddbc79e09,270648805.657471,598613.54569225
200,17030,fddc12a0-fe55-4184-a914-16485cfe3714,65966799.4929199,193038.929786584
201,17080,f7e77661-3165-4ee1-9421-ca73a29752a9,17147774.9147949,58107.6960743471
202,17140,04d5dff7-bf4f-4af2-b8dc-c2f8bd4dd788,9815108.79003906,37095.8487815507
203,17150,3b2c6f21-d359-45be-b087-70b4a7a2746a,13230575.4223633,25050.1546924052
204,17153,83099835-8f8d-4681-9325-67f5cf13ce1d,23840575.9289551,44266.212388234
205,17160,9f846100-9e15-4408-9faf-e634ddf03d14,16418333.5061035,29096.3309581903
206,17500,b7fad1b3-573c-44d7-9daf-b0da20e46de6,13330979.3015137,41900.4672382896
207,17510,f189212d-55ef-482b-b8ac-fe682508fa8c,32586636.8911133,94954.2615179877
208,17560,ffc68eaf-0ff2-49cf-af8e-82adbeabc7fb,9687392.58374023,47545.2279704192
209,17570,044aa21c-df35-464d-b72a-f9c25822ce2c,18309582.8845215,75558.8469664445
210,17571,f7b07e53-06c6-4cff-bcef-5b0f5f499b77,4951111.65014648,35980.1663965608
211,19000,2fe5dceb-a7ce-497a-aa4c-127207b1508d,397463453.217529,780094.408146696
212,19100,e238fee8-8c08-4618-a870-40b0c8a68142,51065801.4782715,179400.053652866
213,19101,48fd4142-7120-49fe-a71b-ab66dceb39e3,2085531.22216797,13296.8445333451
214,20000,6f1d4ca6-3a0f-48f3-bbbb-a4b7319bcd8c,230324508.236816,465413.079816238
215,20001,a1881aa6-e475-44f7-b6d0-0b6360c4b4cf,30371947.4008789,89403.1392567949
216,20100,9a057ea8-b2b5-4794-9a17-36ab4e0ff211,4491879.80395508,25260.461545137
217,20151,3ca8681a-92ce-4b56-b74c-b5a2b19d7470,12876671.8842773,55539.5020844968
218,20350,e9763401-c1d7-451a-bccf-ecfcbb1a5516,10540836.1967773,43012.8181516595
219,30050,7d51258a-385d-4e5d-b399-a7926367940b,3622528.72216797,10323.1989304856
220,30100,6062ec19-484f-4e36-b9d9-29c9c4db2ee7,5394495.85449219,17764.3657101846
221,30150,466de90f-92f7-4360-9890-263345a2e343,937200.873535156,4645.63011584692
222,30151,335c4877-9539-4218-8476-ec55c66570c6,1058202.52416992,4972.28010996986
223,30200,9187ee62-cfa6-4f43-a2e1-c78cc8ca125b,4387998.07421875,19928.2992728912
224,30210,eb06e8c9-735b-4455-ac41-e6cc4d592b73,1181482.79760742,4892.03112961598
225,30230,c6387749-9a60-41c7-85eb-ff3b579c29b3,349395.505126953,2440.00518973654
226,30250,8edad7b7-27bc-4b48-81bd-bf84ef984a11,2564636.11547852,13202.1544655103
227,30300,d4cd2cc3-8733-40b8-9ca5-d43e7a3eac38,5892418.04663086,13163.9124902982
228,30350,c3dbf49a-d764-4a38-af62-9ff3ce96d06c,2607261.55566406,7341.92959823901
229,30400,62ee44d2-4358-45dc-b37f-ceb0841a36d4,1370045.84790039,4750.21369533437
230,30450,f0333f61-ced3-4e71-9b83-9bd4e97acfcd,7248134.51928711,11586.9633829488
231,30460,4a94e27e-e2b6-4db7-839d-d92b0d940c71,2541277.99902344,7292.35130819473
232,30500,b17465e6-203e-48ae-9173-52f3606526cc,4938497.71533203,17919.5489779056
233,30550,b504cac6-8b50-4152-9f51-4539ff8931b6,12454219.1862793,35461.0353495472
234,30551,c971927b-1eb5-4966-9216-276d28318934,1528890.03173828,8066.35249076695
235,30600,4f097dcc-0312-4245-b709-b6909386be6f,2417645.8137207,10871.3864544012
236,30650,6c4d535e-48f0-4946-9cf8-861e740d6542,520991.527832031,3220.14038482133
237,40050,e5b3cc9b-2e17-4bff-8213-0f6271ab4920,7466369.90161133,21203.6329810685
238,40100,87616fcf-93cf-41e5-8e04-ce470a66a1af,1081936.57788086,4544.40832791276
239,40150,d108418e-208a-4e4b-9615-9003378544b1,995611.081298828,10001.6761613124
240,40200,e54e6060-ed77-4dde-af07-23627f8d86c5,5188193.78979492,12538.6933407924
241,40230,61c421dd-9c01-4190-9723-e89d2d09f019,13201710.6728516,64923.6590038086
242,40250,a5e62486-b090-4106-af2e-c8a383a6c557,11581189.3850098,65534.4195877569
243,40300,a3db5c5e-dbba-418d-9a1b-06139862bc4c,3550998.31689453,12223.0883261905
244,40350,f80bcc8c-de4e-42a5-8015-d7d6b31bfba6,1738613.00854492,7106.48676032192
245,40400,74b4dd15-b9cb-4bd3-93d1-b218dce2a362,1458200.10961914,5293.43304918799
