OBJECTID,PRECINCTID,NAME,COUNTY,POLLINGID,LASTUPDATE,LASTEDITOR,GlobalID,Shape__Area,Shape__Length
145,100-127,PE73,Peoria County,73,,,c2d03120-3a4a-4285-8213-7154a428c3bb,60937619.1105957,84353.4420826765
146,100-128,PE74,Peoria County,73,,,60d018d0-1403-4fa7-b589-fe53ec241fce,17533752.4882813,22083.5147282761
147,100-129,PE75,Peoria County,74,,,97395e7a-2ea2-405b-9401-b1aed8558cee,35222257.5895996,45743.1664184907
148,100-130,PE76,Peoria County,74,,,75c910c7-e21e-40f3-b5dd-7f0f6860b180,7633236.54150391,17989.7055322627
149,100-131,PE77,Peoria County,76,,,b3bc0b64-f8ee-438a-a656-dd8a746ecceb,55256523.6259766,46496.527276248
150,100-132,PE78,Peoria County,69,,,2f19f594-3195-4dae-8197-87d335f06924,11763818.001709,18058.3893219601
151,100-133,PE79,Peoria County,64,,,aaa9fc53-9cf4-4c6a-b747-cd2a75cfc63c,11522280.0627441,18821.0152018457
152,100-134,PE80,Peoria County,77,,,bfc428de-a9e9-4f28-a2a3-92e3df976fec,12514867.9309082,16316.3876823869
153,100-135,PE81,Peoria County,76,,,57473851-3d88-407c-afe4-51cc1b49c7ac,8676810.48095703,14276.4148869109
154,100-136,PE82,Peoria County,76,,,f23a505e-928c-4115-a57d-92e297a8d897,10744285.6000977,18801.5035750945
155,100-137,PE83,Peoria County,77,,,9423108f-caa2-467c-bf0f-3fbb16fdad3e,8822535.12792969,14869.4935368181
156,100-138,PE84,Peoria County,80,,,cb6a62ba-d0e4-43c8-9a1f-bfac3639b9ab,5787410.2722168,11799.6805034779
157,100-139,PE85,Peoria County,77,,,edb204aa-ebd7-4d86-ba34-b0723e7b8312,24084775,24904.8695278273
158,100-140,PE86,Peoria County,79,,,f24b8ab4-fd2c-4caf-9412-565d9d030fc9,48024535.111084,53120.2338231431
159,100-141,PE87,Peoria County,80,,,d2921717-4f6a-485d-bebc-28656db3343f,27171480.7670898,30796.0220113656
160,100-142,PE88,Peoria County,80,,,8a695f77-9e03-41c7-8ee0-84ed60693fd1,52664602.7856445,47986.0316758707
161,100-143,PE89,Peoria County,27,,,662c3942-a972-49ea-b754-30afb44b042e,28402267.9511719,21930.233181854
162,100-144,PE90,Peoria County,27,,,94ae9012-5daa-4166-ad0d-f09b021f6457,58936145.9973145,72065.4597257386
163,100-145,PE91,Peoria County,82,,,056663aa-8a88-47e4-9058-28fe9db5689b,9341295.85791016,20147.9716237482
164,100-146,PE92,Peoria County,82,,,5873027c-3193-4681-8349-3338dd113412,14122758.3598633,24977.0193197932
165,100-147,PE93,Peoria County,83,,,7148e05f-1e8a-4424-889d-0801b9364da3,23586907.9943848,37908.9953652674
166,100-148,PE94,Peoria County,82,,,1c7b7258-8075-4091-89b5-4d82b1d5dbf9,6643512.38574219,10684.6432121024
167,100-149,PE95,Peoria County,83,,,df67ad2b-ff8c-407f-91df-352aa3170fbb,46286575.3535156,66369.4567466344
168,100-150,PR01,Peoria County,1,,,b24dfd81-c3d6-4206-a7a5-b5258080e7a6,993764142.628662,134617.986859076
169,100-151,PR02,Peoria County,1,,,b392d076-62d5-4e15-89d2-96dd538b23c1,20627554.223877,24193.7150079949
