OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
712,Bridge Outline Features,Updated,,2012-10-26T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,88f2f0bf-b354-40e5-a760-b70ce1c5b95d,5539.2734375,423.721168885581
713,Bridge Outline Features,Existing,,2012-10-30T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,c0914203-07d6-41c8-8f54-89d39d395e92,769.340576171875,113.818016430613
714,Bridge Outline Features,Existing,,2012-11-01T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,7b071157-1f34-4330-9961-4b3795fbbd7c,21261.7741699219,1411.35293972665
715,Bridge Outline Features,Updated,,2017-12-18T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,a70bc6e9-dee0-4463-a96d-0568cbe4105f,8192.78344726563,489.24858607771
716,Bridge Outline Features,Existing,,2012-11-05T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,755213f1-9cb6-45c4-8441-a290e449847c,344.97216796875,82.7529973793651
717,Bridge Outline Features,Updated,,2012-11-05T00:00:00.000Z,A.Hendon,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,2fb975d4-e7dd-4443-8cec-575e518fe6ca,2750.18627929688,236.166971582792
718,Bridge Outline Features,New,,2017-12-14T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,21e04e34-de6f-460e-9f3e-241513924b6d,509.2744140625,91.2332618933641
719,Bridge Outline Features,New,,2017-12-14T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,dc1c0a55-1422-49ec-9eb0-0b89d2ea6035,181.748291015625,65.062997659515
720,Bridge Outline Features,New,,2017-12-14T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,7bcb056e-8492-4eb4-8127-d4e06801687d,2681.94091796875,225.56285697534
721,Bridge Outline Features,New,,2017-12-15T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,86055fa7-7590-417f-9568-b2e24db0f9dd,523.310302734375,98.0349661871803
722,Bridge Outline Features,New,,2017-12-18T00:00:00.000Z,A.Holland,GISAdmin,2018-06-22T17:29:11.210Z,GISAdmin,2018-06-22T17:29:11.210Z,1423b032-430b-42c4-8ca9-adef6535671a,3842.28930664063,347.030502084732
