OBJECTID,Type,Status,SHAPE_Leng,Shape__Area,Shape__Length
1718,Woodland Deciduous Vegetation Area,New,707.639309121,25768.68359375,707.639309118639
1719,Woodland Deciduous Vegetation Area,New,506.319063077,5903.21044921875,506.319063076428
1720,Woodland Deciduous Vegetation Area,New,2621.62257401,75888.9089355469,2621.62257401321
1721,Woodland Deciduous Vegetation Area,New,2251.56090402,49499.5275878906,2251.56090401552
1722,Woodland Deciduous Vegetation Area,New,442.230381323,11011.8393554688,442.2303813243
1723,Woodland Deciduous Vegetation Area,New,634.978179963,12438.2180175781,634.978179961959
1724,Woodland Deciduous Vegetation Area,New,481.275372966,12999.0627441406,481.275372978202
1725,Woodland Deciduous Vegetation Area,New,113.500147583,939.34375,113.500147580872
1726,Woodland Deciduous Vegetation Area,New,255.75103649,4352.3662109375,255.75103649055
1727,Woodland Deciduous Vegetation Area,New,379.074634729,4043.82348632813,379.074634732026
1728,Woodland Deciduous Vegetation Area,New,6857.48975631,168064.48046875,6857.48975631729
1729,Woodland Deciduous Vegetation Area,New,579.940380338,17370.5710449219,579.940380336465
1730,Woodland Deciduous Vegetation Area,New,1140.56305079,17937.5209960938,1140.56305078738
1731,Woodland Deciduous Vegetation Area,New,274.665635227,2676.56420898438,274.665635225972
1732,Woodland Deciduous Vegetation Area,New,716.691017678,15266.1977539063,716.691017669614
1733,Woodland Deciduous Vegetation Area,New,816.322348853,30152.7934570313,816.322348853758
1734,Woodland Deciduous Vegetation Area,New,281.108059606,3814.0224609375,281.108059607403
1735,Woodland Deciduous Vegetation Area,New,708.971277393,10703.1726074219,708.971277398028
1736,Woodland Deciduous Vegetation Area,New,293.17036967,4408.658203125,293.170369668575
1737,Woodland Deciduous Vegetation Area,New,770.435088067,17155.1555175781,770.435088065762
1738,Woodland Deciduous Vegetation Area,New,708.175530855,10600.4387207031,708.175530853679
1739,Woodland Deciduous Vegetation Area,New,8157.73265541,414637.875244141,8157.73265540691
1740,Woodland Deciduous Vegetation Area,New,728.613700675,7961.19384765625,728.613700671914
1741,Woodland Deciduous Vegetation Area,New,977.019316173,27160.6457519531,977.019316175952
1742,Woodland Deciduous Vegetation Area,New,1589.5563406,49183.025390625,1589.55634057634
1743,Woodland Deciduous Vegetation Area,New,483.749842556,6607.88647460938,483.749842554888
1744,Woodland Deciduous Vegetation Area,New,327.668840374,4378.01245117188,327.668840381513
1745,Woodland Deciduous Vegetation Area,New,4025.96864879,183405.490966797,4025.96864878776
1746,Woodland Deciduous Vegetation Area,New,2991.47844031,35746.0441894531,2991.47844030704
1747,Woodland Deciduous Vegetation Area,New,340.682214514,3951.21728515625,340.682214510451
1748,Woodland Deciduous Vegetation Area,New,417.497054842,8705.58251953125,417.49705484424
1749,Woodland Deciduous Vegetation Area,New,463.479069769,5919.60668945313,463.479069768272
1750,Woodland Deciduous Vegetation Area,New,7411.02717618,284386.737304688,7411.02717613897
1751,Woodland Deciduous Vegetation Area,New,1578.27856128,49418.7390136719,1578.27856127605
1752,Woodland Deciduous Vegetation Area,New,569.465258437,4581.890625,569.465258431708
1753,Woodland Deciduous Vegetation Area,New,1233.12340869,19794.1069335938,1233.1234086831
1754,Woodland Deciduous Vegetation Area,New,1756.04982676,37163.9096679688,1756.04982676514
1755,Woodland Deciduous Vegetation Area,New,1497.67817801,38964.0708007813,1497.67817800841
1756,Woodland Deciduous Vegetation Area,New,7950.76113141,395451.812011719,7950.7611314031
1757,Woodland Deciduous Vegetation Area,New,1807.24690544,20444.8815917969,1807.24690543625
1758,Woodland Deciduous Vegetation Area,New,148.31481527,1376.80346679688,148.314815262449
1759,Woodland Deciduous Vegetation Area,New,679.583999017,10760.7426757813,679.583999014097
1760,Woodland Deciduous Vegetation Area,New,1783.08076324,61833.7978515625,1783.08076323215
1761,Woodland Deciduous Vegetation Area,New,198.647149113,2219.14526367188,198.64714911137
