OBJECTID,LANDUSE,GlobalID,Shape__Area,Shape__Length
7310,Agricultural1 Preservation,df586165-3ada-448d-8f65-fad903486bc8,27461963.8352051,21005.8709925764
7311,Agricultural1 Preservation,06ef9b30-23bc-4acd-945d-a45e2ed675cb,25230744.3220215,24910.1403283555
7312,Agricultural1 Preservation,ce12d1c5-0614-4c43-a70d-38e443b95407,10652947.2512207,23187.7791722961
7313,Agricultural1 Preservation,ec9a1817-cf9f-4927-8298-be9c6aa1d665,7214044.01489258,10744.1708855787
7314,Agricultural1 Preservation,f99cf1d5-a65c-4b7b-b77e-6b30fb252729,4130363.66015625,9616.98178062478
7315,Agricultural1 Preservation,39763d48-c9dc-4551-986d-819f3b698ad6,3654530.07592773,10783.516157409
7316,Agricultural1 Preservation,e3afb701-ec86-47e9-b299-c5f40a5d3edb,2796312.46777344,9390.87654474231
7317,Agricultural1 Preservation,10e03c36-c09f-4caa-8de4-d1fa1c041f8b,2771757.53320313,7493.58462595729
7318,Agricultural1 Preservation,5ed6a332-9ebd-489c-a778-b92b80388710,1323020.18920898,5631.16607187724
7319,Agricultural1 Preservation,c9a03602-c446-49e6-84a1-798bcf7380ee,1246098.69287109,4573.6266423748
7320,Agricultural1 Preservation,7a02113b-5d75-4fa6-ad4d-9b30527e0046,1030060.40454102,4647.6021845832
7321,Agricultural1 Preservation,16966b54-8d06-4065-a6d7-1cf1f05fd209,330788.898681641,3663.35161627182
7322,Agricultural1 Preservation,729477a4-4601-4d4b-853a-707eb21ac955,237562.140625,1993.58379120114
7323,Agricultural1 Preservation,3f520854-2af2-4bfd-a691-9f95e8a09a5b,214662.283935547,1793.03989356103
7324,Agricultural1 Preservation,dbaa026d-c30c-4f4c-9284-901d80590504,174242.021240234,1716.015186778
7325,Agricultural1 Preservation,201c1d21-cfe7-4364-b104-d691538f79e3,164171.167480469,1664.81562709267
7326,Agricultural1 Preservation,8bd227d4-4777-4bf8-9b15-71a6f2e0553e,139057.666992188,2052.81801253506
7327,Agricultural1 Preservation,43514caf-99e2-4904-89e7-052328680a32,113759.612060547,1682.12068452979
7328,Agricultural1 Preservation,a5e06a97-903d-408f-a4e0-61b96c9dbb86,87669.0649414063,1440.70014891224
7329,Agricultural1 Preservation,3aa5d369-b2c7-4fb1-8ea6-00c966934ace,61054.9399414063,1068.0679685275
7330,Agricultural1 Preservation,28604b9d-3b2a-42c5-9a81-2142a2d79ec2,49285.7604980469,905.826313258875
7331,Agricultural1 Preservation,f5f216e8-d1c5-40a2-b9d1-9fd180a772fe,23232.9763183594,791.882235305238
7332,Agricultural1 Preservation,a491caeb-89c7-44ef-8335-7faa7bc21ec0,13056.7724609375,556.859990203705
7333,Agricultural1 Preservation,6efe0288-5ab1-4935-aee9-737e18c56c16,5045.783203125,351.868423571537
7334,Agricultural2 District,8af78ebf-e0af-4e16-9f78-66bea792c7da,1400194940.73682,379787.570883092
7335,Agricultural2 District,d2a1b6f1-ea6e-40bc-8c25-107909064496,729415512.195801,507074.373432164
7336,Agricultural2 District,5fa6e2b4-a7b7-4d68-9dfe-f5e72dca24c9,737317280.140625,309946.548197158
