OBJECTID,Type,Shape_Leng,Shape__Area,Shape__Length
120,Obscure Area Outlines,341.965320048,5528.61767578125,341.96532005206
121,Obscure Area Outlines,1338.01587649,90732.9064941406,1338.01587648754
122,Obscure Area Outlines,549.138624024,15382.2536621094,549.138624023051
123,Obscure Area Outlines,97.8353992439,316.733642578125,97.8353992355455
124,Obscure Area Outlines,1107.93795466,58439.7888183594,1107.93795465414
125,Obscure Area Outlines,2195.67693081,73652.7700195313,2195.67693081378
126,Obscure Area Outlines,1344.50026387,64652.6499023438,1344.50026386454
127,Obscure Area Outlines,732.64974846,19548.0666503906,732.649748471254
128,Obscure Area Outlines,622.985555079,15871.2780761719,622.98555508144
129,Obscure Area Outlines,1909.8887017,40848.5705566406,1909.88870169013
130,Obscure Area Outlines,744.469268624,16334.4145507813,744.469268633078
131,Obscure Area Outlines,382.752635428,5649.15209960938,382.752635430569
132,Obscure Area Outlines,676.989705035,8865.15673828125,676.989705031998
133,Obscure Area Outlines,1604.95662494,81956.8591308594,1604.95662493789
134,Obscure Area Outlines,1495.15512124,42394.7995605469,1495.15512123889
135,Obscure Area Outlines,1015.67632828,25133.1633300781,1015.67632827934
136,Obscure Area Outlines,1360.89827413,49289.8103027344,1360.89827413105
137,Obscure Area Outlines,2267.76542755,236204.30078125,2267.76542754876
138,Obscure Area Outlines,1309.81271644,78155.8127441406,1309.81271644207
139,Obscure Area Outlines,1769.41440519,112279.659667969,1769.41440518839
140,Obscure Area Outlines,3120.7769079,392792.896972656,3120.77690790275
141,Obscure Area Outlines,2059.54929516,130872.402587891,2059.54929515399
142,Obscure Area Outlines,1218.95019617,43257.5783691406,1218.95019616051
143,Obscure Area Outlines,376.075281,8327.68286132813,376.075280998126
144,Obscure Area Outlines,205.36139931,2584.37084960938,205.361399311778
145,Obscure Area Outlines,698.539279624,12140.4367675781,698.539279626355
146,Obscure Area Outlines,499.652082028,12831.1701660156,499.65208202975
147,Obscure Area Outlines,717.278014163,23934.3359375,717.278014167721
148,Obscure Area Outlines,792.931449651,35513.4782714844,792.931449654142
149,Obscure Area Outlines,1185.67090135,67181.189453125,1185.67090135482
150,Obscure Area Outlines,1476.97658534,82241.8176269531,1476.97658534636
151,Obscure Area Outlines,1510.95622093,66661.7209472656,1510.95622092951
152,Obscure Area Outlines,1345.08858371,76976.7604980469,1345.08858371596
153,Obscure Area Outlines,723.576097714,11784.8759765625,723.576097715863
154,Obscure Area Outlines,949.142660008,31588.4162597656,949.142660008512
155,Obscure Area Outlines,916.646202371,31455.5314941406,916.646202373241
156,Obscure Area Outlines,512.729117496,14080.998046875,512.729117496667
157,Obscure Area Outlines,920.134242082,28325.0795898438,920.134242084085
158,Obscure Area Outlines,937.02125412,38024.1560058594,937.021254117485
159,Obscure Area Outlines,1151.80287525,44797.0920410156,1151.8028752498
160,Obscure Area Outlines,924.531671133,35633.1027832031,924.531671134667
161,Obscure Area Outlines,1665.13510039,118110.882324219,1665.13510038627
162,Obscure Area Outlines,667.62565415,19016.6313476563,667.625654151049
163,Obscure Area Outlines,10291.4402108,719885.850585938,10291.4402108142
164,Obscure Area Outlines,2508.15551725,121733.090332031,2508.15551724813
165,Obscure Area Outlines,4170.93694613,214899.764404297,4170.93694612615
166,Obscure Area Outlines,2284.76739305,171750.553222656,2284.76739304528
167,Obscure Area Outlines,3743.38114082,208560.530517578,3743.38114082603
168,Obscure Area Outlines,4467.33467227,150484.597412109,4467.33467225412
169,Obscure Area Outlines,2008.88343742,91947.8479003906,2008.88343742726
170,Obscure Area Outlines,2103.89715309,173339.041503906,2103.89715308679
171,Obscure Area Outlines,1750.37248684,119668.544433594,1750.37248683494
172,Obscure Area Outlines,4008.45080515,285666.420166016,4008.45080515889
173,Obscure Area Outlines,2592.47273089,161909.31640625,2592.47273088613
174,Obscure Area Outlines,2862.7642603,102116.133789063,2862.76426030265
175,Obscure Area Outlines,2276.72859234,71493.7209472656,2276.7285923313
176,Obscure Area Outlines,3755.73587033,25023.921875,3755.73588085458
177,Obscure Area Outlines,655.250224785,21564.4248046875,655.250224782806
178,Obscure Area Outlines,15331.9468907,1464216.15380859,15331.9468906683
179,Obscure Area Outlines,14705.8048985,1732864.97119141,14705.8048984958
180,Obscure Area Outlines,3855.71149052,441111.512451172,3855.71149053718
181,Obscure Area Outlines,1579.73056845,112587.545898438,1579.7305684606
182,Obscure Area Outlines,1282.45952404,67313.4982910156,1282.45952404739
183,Obscure Area Outlines,1584.53843787,54428.1596679688,1584.53843786519
184,Obscure Area Outlines,570.740963102,14616.7963867188,570.740963098821
185,Obscure Area Outlines,1209.57088135,58379.4812011719,1209.57088135916
186,Obscure Area Outlines,941.312258879,34013.3483886719,941.3122588763
187,Obscure Area Outlines,782.583850755,16174.3107910156,782.583850759819
188,Obscure Area Outlines,880.639556528,26252.8974609375,880.6395565297
189,Obscure Area Outlines,465.729506165,11100.1906738281,465.729506160925
190,Obscure Area Outlines,919.152538824,22910.45703125,919.152538819625
