OBJECTID,SEPRID,SEPRTYPE,STATEDAREA,SEPRTYPE2,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
179,1903701006,Mineral Right,144,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6454352.8659668,12697.6374255173
180,1906701008,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3593051.01464844,8026.31082687951
181,2006701002,Mineral Right,240,10,,,AANDREWS,2018-07-13T19:56:44.000Z,10615873.5722656,15974.9975276857
182,2005701003,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3509460.43359375,7977.71695449472
183,1906701010,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1799163.6640625,5365.84762127195
184,1905701002,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7052975.81494141,10619.8758952142
185,1902701012,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1755375.38671875,5299.76138361212
186,1906701002,Mineral Right,60,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3709527.58520508,8242.46059211594
187,1904701001,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,909733.498779297,4029.93424166391
188,1902701003,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1754196.06811523,5298.10908750294
189,1903701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3461606.92724609,7882.81565602649
190,1902701005,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7082050.27832031,10645.2919760124
191,1902701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1761518.08886719,5309.12887993134
192,1901701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7077415.51806641,10641.897461906
193,2004701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7252778.47290039,10772.3180518631
194,2004701002,Mineral Right,80,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3613400.3815918,8001.10530308696
195,1903701001,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,3474805.0534668,7911.89099787495
196,1905701001,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7014290.79223633,10589.4040686196
197,1904701009,Mineral Right,20,10,,,AANDREWS,2018-07-13T19:56:44.000Z,876088.167236328,3968.29734766349
198,1906701003,Mineral Right,120,10,,,AANDREWS,2018-07-13T19:56:44.000Z,5496778.45043945,10820.037011562
199,2005701002,Mineral Right,152,10,,,AANDREWS,2018-07-13T19:56:44.000Z,6741658.25805664,10656.5684425965
200,1904701002,Mineral Right,40,10,,,AANDREWS,2018-07-13T19:56:44.000Z,1796060.12011719,5360.97168181493
201,1904701004,Mineral Right,160,10,,,AANDREWS,2018-07-13T19:56:44.000Z,7034543.21801758,10611.271121167
