OBJECTID,DIVDSGNTR,BLKDSGNTR,DIVTYP,STATEDAREA,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
63,Public Right Of Way,,Public Right Of Way,0.7445 a,,,AANDREWS,2018-07-13T19:57:01.000Z,32431.2709960938,2644.98924313242
64,Public Right Of Way,,Public Right Of Way,3.881 a,,,AANDREWS,2018-07-13T19:57:01.000Z,169066.860595703,13502.0813859797
65,Public Right Of Way,,Public Right Of Way,0.2950 a,,,AANDREWS,2018-07-13T19:57:01.000Z,12886.8283691406,682.367394533814
66,Public Right Of Way,,Public Right Of Way,14.85 a,,,AANDREWS,2018-07-13T19:57:01.000Z,646909.938964844,7432.19440910922
67,Public Right Of Way,,Public Right Of Way,3.453 a,,,AANDREWS,2018-07-13T19:57:01.000Z,150412.655029297,6049.5524461368
68,Public Right Of Way,,Public Right Of Way,0.2385 a,,,AANDREWS,2018-07-13T19:57:01.000Z,10383.6352539063,881.22230452903
69,Public Right Of Way,,Public Right Of Way,4.782 a,,,AANDREWS,2018-07-13T19:57:01.000Z,208330.113037109,7795.41624422732
70,Public Right Of Way,,Public Right Of Way,1.294 a,,,AANDREWS,2018-07-13T19:57:01.000Z,56371.17578125,2354.87271541048
71,Public Right Of Way,,Public Right Of Way,3.964 a,,,AANDREWS,2018-07-13T19:57:01.000Z,172558.262207031,2495.10775306551
72,Public Right Of Way,,Public Right Of Way,0.0575 a,,,AANDREWS,2018-07-13T19:57:01.000Z,2514.5537109375,236.14976806214
73,Public Right Of Way,,Public Right Of Way,0.2870 a,,,AANDREWS,2018-07-13T19:57:01.000Z,12500.095703125,600.007704324459
74,Public Right Of Way,,Public Right Of Way,0.3614 a,,,AANDREWS,2018-07-13T19:57:01.000Z,15742.9494628906,741.867337862575
75,Public Right Of Way,,Public Right Of Way,3.517 a,,,AANDREWS,2018-07-13T19:57:01.000Z,153194.991210938,11031.5368729966
76,Public Right Of Way,,Public Right Of Way,1.016 a,,,AANDREWS,2018-07-13T19:57:01.000Z,44226.9948730469,3019.55529852871
77,Public Right Of Way,,Public Right Of Way,0.0753 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3282.0009765625,442.231757732413
78,Public Right Of Way,,Public Right Of Way,0.0184 a,,,AANDREWS,2018-07-13T19:57:01.000Z,800.622314453125,132.072525858109
79,Public Right Of Way,,Public Right Of Way,0.2823 a,,,AANDREWS,2018-07-13T19:57:01.000Z,12298.787109375,529.952835992629
80,Public Right Of Way,,Public Right Of Way,0.0690 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3004.07495117188,220.139244480862
81,Public Right Of Way,,Public Right Of Way,0.3155 a,,,AANDREWS,2018-07-13T19:57:01.000Z,13741.0517578125,976.109079005868
82,Public Right Of Way,,Public Right Of Way,1.103 a,,,AANDREWS,2018-07-13T19:57:01.000Z,48065.6408691406,1753.24624327545
83,Public Right Of Way,,Public Right Of Way,2.008 a,,,AANDREWS,2018-07-13T19:57:01.000Z,87484.1401367188,4056.86352521009
84,Public Right Of Way,,Public Right Of Way,1.106 a,,,AANDREWS,2018-07-13T19:57:01.000Z,48190.2666015625,3066.38751049524
85,Public Right Of Way,,Public Right Of Way,3.241 a,,,AANDREWS,2018-07-13T19:57:01.000Z,141159.516113281,7044.47413380269
86,Public Right Of Way,,Public Right Of Way,0.4327 a,,,AANDREWS,2018-07-13T19:57:01.000Z,18849.2702636719,1346.16988730568
87,Public Right Of Way,,Public Right Of Way,0.2573 a,,,AANDREWS,2018-07-13T19:57:01.000Z,11207.7971191406,745.199262900927
88,Public Right Of Way,,Public Right Of Way,0.3953 a,,,AANDREWS,2018-07-13T19:57:01.000Z,17218.4645996094,1109.52949842441
89,Public Right Of Way,,Public Right Of Way,0.0758 a,,,AANDREWS,2018-07-13T19:57:01.000Z,3299.91333007813,266.002386537086
90,Public Right Of Way,,Public Right Of Way,0.8040 a,,,AANDREWS,2018-07-13T19:57:01.000Z,35024.2077636719,2188.57980606593
91,Public Right Of Way,,Public Right Of Way,6.140 a,,,AANDREWS,2018-07-13T19:57:01.000Z,267505.762695313,14345.8787317745
92,Public Right Of Way,,Public Right Of Way,1.489 a,,,AANDREWS,2018-07-13T19:57:01.000Z,64863.3251953125,5241.57151451784
93,Public Right Of Way,,Public Right Of Way,0.5741 a,,,AANDREWS,2018-07-13T19:57:01.000Z,25009.0495605469,2050.81325169817
94,Public Right Of Way,,Public Right Of Way,2.072 a,,,AANDREWS,2018-07-13T19:57:01.000Z,90273.9819335938,5003.56606490675
95,Public Right Of Way,,Public Right Of Way,2.748 a,,,AANDREWS,2018-07-13T19:57:01.000Z,119722.273193359,4456.73135877571
96,Public Right Of Way,,Public Right Of Way,2.026 a,,,AANDREWS,2018-07-13T19:57:01.000Z,88263.8801269531,5753.16678667778
97,Public Right Of Way,,Public Right Of Way,0.0601 a,,,AANDREWS,2018-07-13T19:57:01.000Z,2618.1240234375,234.613015785736
98,Public Right Of Way,,Public Right Of Way,2.621 a,,,AANDREWS,2018-07-13T19:57:01.000Z,114202.993652344,6147.24899328412
99,Public Right Of Way,,Public Right Of Way,9.869 a,,,AANDREWS,2018-07-13T19:57:01.000Z,430037.806884766,15386.7170726385
100,Public Right Of Way,,Public Right Of Way,1.514 a,,,AANDREWS,2018-07-13T19:57:01.000Z,65929.3220214844,2925.76292430483
101,Public Right Of Way,,Public Right Of Way,0.7903 a,,,AANDREWS,2018-07-13T19:57:01.000Z,34441.4765625,1895.91455403311
102,Public Right Of Way,,Public Right Of Way,5.808 a,,,AANDREWS,2018-07-13T19:57:01.000Z,252993.502929688,10222.3489006604
103,Public Right Of Way,,Public Right Of Way,0.0485 a,,,AANDREWS,2018-07-13T19:57:02.000Z,2074.06909179688,423.635955927563
104,Public Right Of Way,,Public Right Of Way,0.0144 a,,,AANDREWS,2018-07-13T19:57:02.000Z,627.5029296875,260.990402702378
105,Public Right Of Way,,Public Right Of Way,2.261 a,,,AANDREWS,2018-07-13T19:57:02.000Z,98502.2631835938,4010.23105015193
106,Public Right Of Way,,Public Right Of Way,15.24 a,,,AANDREWS,2018-07-13T19:57:02.000Z,664058.492675781,18707.7008349525
107,Public Right Of Way,,Public Right Of Way,0.7440 a,,,AANDREWS,2018-07-13T19:57:02.000Z,32428.1149902344,1365.90104161212
