OBJECTID,TYPE,Status,Comments,Date_Modified,Compiler,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
2320,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,1d40c161-fd69-4927-8f35-e577e0c747a9,33831.080078125,1083.17949380525
2321,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ee330e8e-3877-4392-96d5-d4f4ae515f56,25691.3542480469,1530.9438841707
2322,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,6f00002f-adc3-41b9-8021-79d0ca28bfd4,41802.0532226563,1552.0680626791
2323,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,34298959-6c9a-4279-bcca-c1113e1c0aa7,6375.00830078125,353.128106319162
2324,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,082a07d5-221d-4d44-b076-a9bb446bde0c,23900.2331542969,1640.91566303697
2325,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,c9dea0e8-37a6-4f33-853c-bb550aeb794b,28955.9040527344,1889.38567739046
2326,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a4a58405-3a73-450f-b402-aba8df716b32,12390.16015625,600.554166996938
2327,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,7d58a863-f8f4-4a32-83c0-b88ba83a9897,859.760009765625,127.886633078842
2328,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,f8bc97a0-b713-4005-9937-5634bd590c86,6551.74975585938,373.541482745242
2329,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,b0e4af21-65f6-481d-b107-f433b0a9de1e,9598.47534179688,935.594844468395
2330,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,2f6f34cb-0728-4745-a3f6-1c52f45eb8bf,2281.76831054688,227.122073654567
2331,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,29225382-78d3-4740-983c-15d051b9c200,2628.36572265625,274.052392245622
2332,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,f199ac5c-fb5c-46e0-a630-ccc0d9a57bb3,33489.2766113281,1794.77679706775
2333,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,a0102d88-8108-45af-8ddf-4ed59fabfa46,1937.12475585938,206.133912595059
2334,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,8d610738-addd-44f6-83f8-e6f062ed9d61,12558.0832519531,514.378490980872
2335,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,8a98d3b1-37af-40fd-adee-2c69647e4ab4,14608.2465820313,749.460865650038
2336,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,5808440d-9b14-47b0-9224-31e083519386,4492.07763671875,311.601429853357
2337,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,9f115e7c-2e74-40d0-8e60-a949fb586766,48788.3991699219,1668.23121675366
2338,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,79e94812-800b-4c47-96ff-6a5201905af3,5495.43896484375,348.177502359845
2339,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,4aa79d3c-a0ee-4f51-b5d1-e1ebb7b510aa,14511.8190917969,603.734130276132
2340,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,2619b3c0-d16b-4310-b442-f2953131734e,1893.34252929688,202.489031786589
2341,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,583b7dd8-5d02-461d-ae32-21b7958afab6,24936.6589355469,764.099805087263
2342,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,4b7732c8-acb8-4733-b07a-eb5761a3178c,27658.9602050781,972.041227656599
2343,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,f90f7c85-c236-4ef0-9349-af1280359d43,682.137939453125,152.135800343364
2344,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,621625bd-309e-427c-ad2a-043dc9ec5769,69176.7878417969,2832.98856953529
2345,Paved,Updated,,2017-09-15T00:00:00.000Z,Austin Holland,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,215dd06a-a016-4e34-9339-442d99e838df,20188.0285644531,1242.25904435326
2346,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,ab9de730-80df-42b1-8989-7dc51d2abd73,9861.70581054688,889.849747048798
2347,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,0996517e-0d5a-47c5-b72e-7b81f765febf,3757.66772460938,353.00131570605
2348,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,90b16d49-57ab-4151-91f9-c3bcae499d78,59032.2465820313,1341.2150650368
2349,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,6dd54730-14b1-492b-af4f-ea1604bcabcf,16046.9086914063,821.944459189735
2350,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,6afd2a9b-4e98-4009-91e2-4d31cc0e058d,4128.45239257813,280.763658182623
2351,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,c81027ac-0b78-4c57-9277-d68141e00807,93199.2216796875,3846.63892054766
2352,Paved,Existing,,,,GISAdmin,2018-06-22T17:50:04.243Z,GISAdmin,2018-06-22T17:50:04.243Z,cae6ac98-6fe6-4b65-99e9-aa8a2fa750a3,9422.78588867188,1185.8936451948
