OBJECTID,Status,Street,Block_Num,Area_Sq_Ft,Mowing,Weed_Spray,Fertilizer,Num_Trees,Tree_Trimming,Comments,MedianType,Compiler,Date_Modified,created_user,created_date,last_edited_user,last_edited_date,GlobalID,Shape__Area,Shape__Length
45,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,59e64e3f-8759-4d1d-85d4-41f5f3f5a6da,108.622802734375,50.2907746257922
46,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ad3fbf0c-b4ba-437c-a89b-c2153e2983e8,253.407958984375,74.627362688494
47,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,838a5f14-ae61-4995-b4b5-a47b97feb330,424.3896484375,88.9941552837103
48,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,9e7ec490-44db-4d49-afcb-7a98328159b7,153.873779296875,51.6573025352001
49,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-12T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,927381e9-74e4-4563-b959-d4dc0fb3dfae,216.132568359375,72.1380120340906
50,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-12T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,ac5e7bd3-05ce-4b90-86be-7d73a13d4301,201.777099609375,64.5912228014004
51,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-12T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,65e74ad3-d5cb-41c6-8fbc-a9d631a36da3,219.444580078125,61.5744426309165
52,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-12T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,3c0e4651-4e93-47d6-83ac-201940708671,231.130126953125,85.1883932262854
53,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-07T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,c466977c-095e-4b5b-a530-d97901a04556,839.154296875,158.807097403387
54,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-07T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,a85beec9-36b5-4c3b-b9d7-699bc3622a94,94.563232421875,45.0913344114392
55,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-07T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,decbdc49-e750-4bb7-80ff-8acd43969e05,117.309814453125,51.4713580977043
56,Updated,,,,,,,,,,Paved,C.Wrice,2012-09-17T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,e2b10125-f464-43b9-9dc9-c303a33843ed,18.15576171875,16.2961847365923
57,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-23T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,e814eb2b-dc65-48a9-b2b5-b4a9e9636766,214.366455078125,62.1721879814581
58,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-23T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,098bb9b0-8aa2-4743-a3a3-46b649f15d01,202.3583984375,63.223728658735
59,Updated,,,,,,,,,,Grass,C.Wrice,2012-10-18T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,e2c3bf45-feaa-4b56-b897-39e2c924c9fd,4079.30834960938,598.643595376822
60,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-18T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,22c3f509-7d70-4f43-a73f-d1718678d4ad,313.34814453125,77.5096241581696
61,Updated,,,,,,,,,,Paved,C.Wrice,2012-10-18T00:00:00.000Z,GISAdmin,2018-06-22T17:47:33.086Z,GISAdmin,2018-06-22T17:47:33.086Z,bb033664-b0d8-44f8-8b7f-1533206b5c90,163.03515625,58.8001639623526
