OBJECTID,ENCUMID,SRCREF,ENCUMTYPE,STATEDAREA,LASTUPDATE,LASTEDITOR,created_user,created_date,last_edited_user,last_edited_date,Shape__Area,Shape__Length
82,1428427021,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3754.4033203125,310.066881050687
83,1225300007,,Lease,0.2152 a,,,,,AANDREWS,2018-07-13T19:57:03.000Z,9374.97802734375,399.999669671059
84,1429302007,,Lease,0.17,,,,,AANDREWS,2018-07-13T19:57:03.000Z,7224.0634765625,339.974315920301
85,1325153002,,Lease,0.129,,,,,AANDREWS,2018-07-13T19:57:03.000Z,5623.72314453125,300.032520098944
86,1428278022,,Lease,0.2,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1138.38500976563,135.927849598834
87,1430101011,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.9931640625,200.00075655524
88,1427130012,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,18902.7456054688,543.630105211008
89,1323300013,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.98828125,199.999548201584
90,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,762350.682617188,4233.47785443462
91,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,180124.545898438,1730.12174902091
92,1419451001,,Lease,1.75,,,,,AANDREWS,2018-07-13T19:57:03.000Z,80631.8349609375,1331.67003866284
93,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,732108.479003906,3979.35471920711
94,1420401039,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2500.0087890625,200.000356153051
95,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,39474.9167480469,1549.6596069552
96,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,203958.903320313,2331.66496131484
97,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,130232.735107422,1722.91795001719
98,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,314374.510986328,2241.89273342714
99,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,608661.063232422,3143.74787039563
100,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,126827.005859375,2013.06278472389
101,1320300012,,Lease,114.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2029805.73999023,11556.5520067374
102,1313351010,,Lease,0.23,,,,,AANDREWS,2018-07-13T19:57:03.000Z,10000.6186523438,400.012424431047
103,1313401005,,Lease,0.04,,,,,AANDREWS,2018-07-13T19:57:03.000Z,1432.77612304688,155.661086273101
104,1415401008,,Lease,0.093,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4068.1923828125,283.427044812682
105,1418326004,,Lease,0.082,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3599.9833984375,239.999441437655
106,1416155016,,Lease,0,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3496.56201171875,239.909767648983
107,1416101031,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2499.99291992188,200.000927394602
108,1307300026,,Lease,1.49,,,,,AANDREWS,2018-07-13T19:57:03.000Z,65140.0102539063,1109.26440155901
109,1108351004,,Lease,0.089,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3899.99731445313,249.999491275341
110,1311401008,,Lease,0.057,,,,,AANDREWS,2018-07-13T19:57:03.000Z,2501.3349609375,200.066201614043
111,1407276033,,Lease,0.1,,,,,AANDREWS,2018-07-13T19:57:03.000Z,4550.04858398438,270.001510873585
112,1312100026,,Lease,0.086,,,,,AANDREWS,2018-07-13T19:57:03.000Z,3769.740234375,251.148973520911
