OBJECTID,Section,Shape__Area,Shape__Length
450,9,28608073.1931152,21401.6354347691
451,8,27817053.9765625,21126.9112146537
452,7,27581449.112793,20979.8960677404
453,8,28084022.2927246,21184.2186068888
454,7,28075245.019043,21191.1885007845
455,9,28062844.4526367,21209.9464894219
456,10,28541550.4008789,21344.524351974
457,11,28288367.6350098,21268.8251419237
458,7,28916162.645752,21488.061582315
459,8,825053.518554688,4229.99734648132
460,12,28514549.1762695,21371.0774070044
461,7,17849772.3486328,18690.065517333
462,12,27899627.1196289,21146.2949435625
463,11,28367661.5185547,21253.9563747979
464,10,28606254.420166,21367.3827779776
465,8,28284744.0266113,21288.5924782719
466,9,28475956.4997559,21349.3110402172
467,3,27741222.6745605,21074.0510060712
468,2,27882135.7607422,21122.2379169712
469,4,28354608.7233887,21295.2941934753
470,1,29064040.9248047,21559.1862378745
471,5,27493339.6772461,20989.3604647862
472,6,27067794.5102539,20811.4154452863
473,1,27002155.248291,20792.062276776
474,6,28515216.925293,21355.5024345575
475,4,27919091.1796875,21147.0462951609
476,5,28048880.9042969,21198.7617523516
477,2,27077921.4372559,20839.2300064689
478,3,28196372.2644043,21231.905287954
479,6,28145014.0229492,21224.2615284546
480,5,29228396.8850098,21623.7264652827
481,1,27845120.9968262,21107.8513691952
482,4,28814756.6669922,21463.3464726833
483,2,30451090.2387695,22072.2781328027
484,3,30051843.769043,21927.0033447854
485,3,27513071.3566895,20997.0809241711
486,2,28179012.1225586,21226.443907869
487,4,27259459.3271484,20883.3524967303
488,1,28040759.2434082,21175.505831722
489,5,27491204.5734863,20967.7923091565
490,6,27869531.5273438,21108.7397777606
491,6,28994228.4160156,21561.2300102991
492,5,13425011.1623535,15801.9578395696
493,34,28599850.7009277,21355.8468987956
494,35,28648034.6391602,21396.7405370358
495,36,28526272.2834473,21380.3963536283
496,33,27657126.0073242,21059.6037027461
497,36,28032408.1884766,21180.0344619833
498,31,28461741.9572754,21355.8640497499
499,32,28004196.4589844,21130.3543402056
500,32,28196366.234375,21205.6318388097
501,31,27450434.4511719,20957.041917386
502,33,27682400.746582,21073.6576536467
503,31,27528235.3637695,21018.7678913935
