OBJECTID,Form,Id,ORIG_FID,GlobalID,Shape__Area,Shape__Length
50,Urban,1,1,cee4f1f7-fde3-4733-b950-d65305381fc4,19449152.3098145,26309.4294638508
51,Urban,1,1,eeb8ac18-f893-4c8f-8ae4-a8f4980ef32f,1200956.41308594,8152.96775684982
52,Urban,1,1,afa51938-6d4d-4062-8292-78dff1016c88,8373823.52148438,16914.3884475681
53,Urban,1,1,59f0e290-9455-4ec9-8eeb-56745e5c111a,995331.564697266,4473.18189622066
54,Urban,1,1,fa9cee1c-d7f4-4ef5-b27d-0ee490a46e6d,6079223.02075195,17865.4518220116
55,Urban,1,1,ee5757e3-bb30-448a-9846-5a7d428bba4c,70106046.1433105,48457.0339502825
56,Urban,1,1,dedf6440-12e0-4055-82d5-86f37c0de492,185920.178466797,2394.73120567399
57,Urban,1,1,0c7ab734-96d1-4d4e-b445-491678c4d4f5,434025.184570313,2725.03745384385
58,Urban,1,1,4824ce4f-0561-4ad1-b611-c60e5c2f4de8,73294.4057617188,1151.51998351974
59,Urban,1,1,5b0084c5-2d22-433f-8cfa-8bd14ae68ac4,17666627.6774902,30153.049786495
60,Urban,1,1,743f008a-81fe-42ce-9a9e-acbda5d6467a,2188633.21362305,8002.99260326601
61,Urban,1,1,c1e2902e-3f8c-4ed8-b888-01272fcad790,1106418.34765625,6402.79542852858
62,Urban,1,1,4a686908-cc52-4db7-86ef-a0acb54cb2d5,205841.905517578,1977.15968064181
63,Urban,1,1,33e44252-a8e9-4185-8c41-7e140cb8b84e,26436.166015625,652.512284332363
64,Urban,1,1,9cc632a9-bf44-4fad-92ec-a6d8a5d28035,130029469.669189,144258.975030435
65,Urban,1,1,9d42b908-1eec-4464-be94-176dd7121bb1,80271.5229492188,1296.77413208825
66,Urban,1,1,89cb4c31-3976-40c9-8b5f-85ee3b731035,175984.336425781,1680.0113527503
67,Urban,1,1,844a422d-457d-47da-98df-7b4b3f140052,427958.618652344,3236.22615784421
68,Urban,1,1,bac96beb-93d1-43ce-a566-8a3786369f71,40819014.5981445,56196.9701005445
69,Urban,1,1,ad6ad68d-c4e8-4b56-b8b9-1530c98090ea,18378645.0043945,25473.725384605
70,Urban,1,1,5d8f0601-7a4e-49db-bf00-c093d7893660,143544.17578125,3682.60215875487
71,Urban,1,1,7c76b298-11b0-4778-a680-9fa6cdd832d8,9822574.64501953,22999.1631990446
72,Urban,1,1,848f6d14-a9db-4ce3-aedf-cec0a99134da,3050943.70263672,7626.20327126602
73,Urban,1,1,530eede7-3f52-40d6-bc41-0a31707cd40d,42312492.3261719,34214.2908874559
74,Urban,1,1,d5466b2b-240e-4341-ba36-3cabede44f2d,660.304443359375,106.039546029952
75,Urban,1,1,97eb2780-f948-4b78-8375-81289e9da5e3,671972.365478516,3873.18557485659
76,Urban,1,1,f6609afb-bd3e-4f8d-8a99-297b159f83c3,6725749.71679688,12563.9987375862
77,Urban Municipal Limits,1,1,dd2c4a24-e95c-4021-a65a-1e1ed6de291f,4651618.66967773,12693.7152817649
78,Urban Municipal Limits,1,1,6e47cd42-c733-4166-93cc-44e8ce7668de,169243.196044922,1705.29864132229
79,Urban Municipal Limits,1,1,4653660a-8c73-4820-b91a-2ec4c9f2cf09,16167442.3005371,24422.1684872082
80,Urban Municipal Limits,1,1,e2bbca3f-c49a-43dd-a42f-fe96ec55ffce,1655279844.46191,598987.545516852
81,Urban Municipal Limits,1,1,a47c9020-0fb7-4c60-ac80-ba788beb56dc,156396801.511719,127272.064897741
